Date,New and returning viewers,Views
2020-06-28,Unknown,1
2020-06-29,Unknown,72
2020-06-30,Unknown,76
2020-07-01,Unknown,70
2020-07-02,Unknown,57
2020-07-03,Unknown,49
2020-07-04,Unknown,34
2020-07-05,Unknown,53
2020-07-06,Unknown,24
2020-07-07,Unknown,1
2020-07-08,Unknown,2
2020-07-09,Unknown,3
2020-07-10,Unknown,0
2020-07-11,Unknown,1
2020-07-12,Unknown,0
2020-07-13,Unknown,61
2020-07-14,Unknown,99
2020-07-15,Unknown,32
2020-07-16,Unknown,54
2020-07-17,Unknown,24
2020-07-18,Unknown,14
2020-07-19,Unknown,9
2020-07-20,Unknown,39
2020-07-21,Unknown,18
2020-07-22,Unknown,24
2020-07-23,Unknown,94
2020-07-24,Unknown,55
2020-07-25,Unknown,32
2020-07-26,Unknown,24
2020-07-27,Unknown,26
2020-07-28,Unknown,39
2020-07-29,Unknown,23
2020-07-30,Unknown,26
2020-07-31,Unknown,10
2020-08-01,Unknown,4
2020-08-02,Unknown,6
2020-08-03,Unknown,24
2020-08-04,Unknown,20
2020-08-05,Unknown,108
2020-08-06,Unknown,41
2020-08-07,Unknown,26
2020-08-08,Unknown,11
2020-08-09,Unknown,26
2020-08-10,Unknown,44
2020-08-11,Unknown,75
2020-08-12,Unknown,55
2020-08-13,Unknown,41
2020-08-14,Unknown,18
2020-08-15,Unknown,17
2020-08-16,Unknown,14
2020-08-17,Unknown,20
2020-08-18,Unknown,18
2020-08-19,Unknown,23
2020-08-20,Unknown,25
2020-08-21,Unknown,15
2020-08-22,Unknown,1
2020-08-23,Unknown,4
2020-08-24,Unknown,15
2020-08-25,Unknown,27
2020-08-26,Unknown,18
2020-08-27,Unknown,20
2020-08-28,Unknown,15
2020-08-29,Unknown,3
2020-08-30,Unknown,10
2020-08-31,Unknown,22
2020-09-01,Unknown,38
2020-09-02,Unknown,24
2020-09-03,Unknown,42
2020-09-04,Unknown,21
2020-09-05,Unknown,20
2020-09-06,Unknown,30
2020-09-07,Unknown,16
2020-09-08,Unknown,30
2020-09-09,Unknown,34
2020-09-10,Unknown,10
2020-09-11,Unknown,16
2020-09-12,Unknown,12
2020-09-13,Unknown,3
2020-09-14,Unknown,31
2020-09-15,Unknown,20
2020-09-16,Unknown,16
2020-09-17,Unknown,48
2020-09-18,Unknown,32
2020-09-19,Unknown,51
2020-09-20,Unknown,30
2020-09-21,Unknown,53
2020-09-22,Unknown,67
2020-09-23,Unknown,39
2020-09-24,Unknown,57
2020-09-25,Unknown,34
2020-09-26,Unknown,21
2020-09-27,Unknown,20
2020-09-28,Unknown,27
2020-09-29,Unknown,33
2020-09-30,Unknown,30
2020-10-01,Unknown,32
2020-10-02,Unknown,12
2020-10-03,Unknown,16
2020-10-04,Unknown,19
2020-10-05,Unknown,9
2020-10-06,Unknown,19
2020-10-07,Unknown,14
2020-10-08,Unknown,21
2020-10-09,Unknown,4
2020-10-10,Unknown,13
2020-10-11,Unknown,13
2020-10-12,Unknown,10
2020-10-13,Unknown,17
2020-10-14,Unknown,34
2020-10-15,Unknown,15
2020-10-16,Unknown,32
2020-10-17,Unknown,5
2020-10-18,Unknown,11
2020-10-19,Unknown,0
2020-10-20,Unknown,6
2020-10-21,Unknown,3
2020-10-22,Unknown,4
2020-10-23,Unknown,3
2020-10-24,Unknown,2
2020-10-25,Unknown,9
2020-10-26,Unknown,13
2020-10-27,Unknown,7
2020-10-28,Unknown,0
2020-10-29,Unknown,4
2020-10-30,Unknown,1
2020-10-31,Unknown,1
2020-11-01,Unknown,5
2020-11-02,Unknown,3
2020-11-03,Unknown,0
2020-11-04,Unknown,4
2020-11-05,Unknown,0
2020-11-06,Unknown,3
2020-11-07,Unknown,3
2020-11-08,Unknown,4
2020-11-09,Unknown,19
2020-11-10,Unknown,1
2020-11-11,Unknown,3
2020-11-12,Unknown,0
2020-11-13,Unknown,2
2020-11-14,Unknown,0
2020-11-15,Unknown,0
2020-11-16,Unknown,0
2020-11-17,Unknown,2
2020-11-18,Unknown,1
2020-11-19,Unknown,0
2020-11-20,Unknown,1
2020-11-21,Unknown,0
2020-11-22,Unknown,1
2020-11-23,Unknown,1
2020-11-24,Unknown,0
2020-11-25,Unknown,4
2020-11-26,Unknown,0
2020-11-27,Unknown,0
2020-11-28,Unknown,0
2020-11-29,Unknown,2
2020-11-30,Unknown,5
2020-12-01,Unknown,5
2020-12-02,Unknown,0
2020-12-03,Unknown,1
2020-12-04,Unknown,4
2020-12-05,Unknown,2
2020-12-06,Unknown,0
2020-12-07,Unknown,0
2020-12-08,Unknown,4
2020-12-09,Unknown,1
2020-12-10,Unknown,0
2020-12-11,Unknown,3
2020-12-12,Unknown,1
2020-12-13,Unknown,4
2020-12-14,Unknown,0
2020-12-15,Unknown,0
2020-12-16,Unknown,13
2020-12-17,Unknown,6
2020-12-18,Unknown,7
2020-12-19,Unknown,0
2020-12-20,Unknown,0
2020-12-21,Unknown,2
2020-12-22,Unknown,2
2020-12-23,Unknown,0
2020-12-24,Unknown,4
2020-12-25,Unknown,1
2020-12-26,Unknown,3
2020-12-27,Unknown,3
2020-12-28,Unknown,1
2020-12-29,Unknown,4
2020-12-30,Unknown,0
2020-12-31,Unknown,1
2021-01-01,Unknown,0
2021-01-02,Unknown,0
2021-01-03,Unknown,1
2021-01-04,Unknown,3
2021-01-05,Unknown,5
2021-01-06,Unknown,5
2021-01-07,Unknown,0
2021-01-08,Unknown,2
2021-01-09,Unknown,1
2021-01-10,Unknown,2
2021-01-11,Unknown,1
2021-01-12,Unknown,0
2021-01-13,Unknown,1
2021-01-14,Unknown,1
2021-01-15,Unknown,0
2021-01-16,Unknown,2
2021-01-17,Unknown,0
2021-01-18,Unknown,1
2021-01-19,Unknown,1
2021-01-20,Unknown,0
2021-01-21,Unknown,1
2021-01-22,Unknown,0
2021-01-23,Unknown,0
2021-01-24,Unknown,0
2021-01-25,Unknown,2
2021-01-26,Unknown,0
2021-01-27,Unknown,5
2021-01-28,Unknown,5
2021-01-29,Unknown,0
2021-01-30,Unknown,3
2021-01-31,Unknown,1
2021-02-01,Unknown,6
2021-02-02,Unknown,1
2021-02-03,Unknown,5
2021-02-04,Unknown,0
2021-02-05,Unknown,0
2021-02-06,Unknown,2
2021-02-07,Unknown,1
2021-02-08,Unknown,2
2021-02-09,Unknown,2
2021-02-10,Unknown,1
2021-02-11,Unknown,1
2021-02-12,Unknown,1
2021-02-13,Unknown,1
2021-02-14,Unknown,0
2021-02-15,Unknown,4
2021-02-16,Unknown,2
2021-02-17,Unknown,3
2021-02-18,Unknown,2
2021-02-19,Unknown,2
2021-02-20,Unknown,0
2021-02-21,Unknown,0
2021-02-22,Unknown,3
2021-02-23,Unknown,8
2021-02-24,Unknown,3
2021-02-25,Unknown,1
2021-02-26,Unknown,1
2021-02-27,Unknown,0
2021-02-28,Unknown,1
2021-03-01,Unknown,8
2021-03-02,Unknown,1
2021-03-03,Unknown,2
2021-03-04,Unknown,2
2021-03-05,Unknown,2
2021-03-06,Unknown,8
2021-03-07,Unknown,7
2021-03-08,Unknown,4
2021-03-09,Unknown,2
2021-03-10,Unknown,2
2021-03-11,Unknown,0
2021-03-12,Unknown,0
2021-03-13,Unknown,2
2021-03-14,Unknown,1
2021-03-15,Unknown,2
2021-03-16,Unknown,0
2021-03-17,Unknown,8
2021-03-18,Unknown,2
2021-03-19,Unknown,0
2021-03-20,Unknown,1
2021-03-21,Unknown,2
2021-03-22,Unknown,1
2021-03-23,Unknown,1
2021-03-24,Unknown,3
2021-03-25,Unknown,3
2021-03-26,Unknown,1
2021-03-27,Unknown,3
2021-03-28,Unknown,1
2021-03-29,Unknown,2
2021-03-30,Unknown,3
2021-03-31,Unknown,0
2021-04-01,Unknown,3
2021-04-02,Unknown,0
2021-04-03,Unknown,0
2021-04-04,Unknown,2
2021-04-05,Unknown,2
2021-04-06,Unknown,1
2021-04-07,Unknown,2
2021-04-08,Unknown,1
2021-04-09,Unknown,0
2021-04-10,Unknown,2
2021-04-11,Unknown,2
2021-04-12,Unknown,0
2021-04-13,Unknown,1
2021-04-14,Unknown,0
2021-04-15,Unknown,3
2021-04-16,Unknown,6
2021-04-17,Unknown,2
2021-04-18,Unknown,0
2021-04-19,Unknown,2
2021-04-20,Unknown,3
2021-04-21,Unknown,2
2021-04-22,Unknown,2
2021-04-23,Unknown,3
2021-04-24,Unknown,2
2021-04-25,Unknown,29
2021-04-26,Unknown,6
2021-04-27,Unknown,1
2021-04-28,Unknown,1
2021-04-29,Unknown,1
2021-04-30,Unknown,1
2021-05-01,Unknown,0
2021-05-02,Unknown,0
2021-05-03,Unknown,5
2021-05-04,Unknown,10
2021-05-05,Unknown,2
2021-05-06,Unknown,6
2021-05-07,Unknown,0
2021-05-08,Unknown,0
2021-05-09,Unknown,0
2021-05-10,Unknown,1
2021-05-11,Unknown,1
2021-05-12,Unknown,6
2021-05-13,Unknown,1
2021-05-14,Unknown,1
2021-05-15,Unknown,1
2021-05-16,Unknown,6
2021-05-17,Unknown,1
2021-05-18,Unknown,0
2021-05-19,Unknown,2
2021-05-20,Unknown,2
2021-05-21,Unknown,0
2021-05-22,Unknown,2
2021-05-23,Unknown,2
2021-05-24,Unknown,3
2021-05-25,Unknown,1
2021-05-26,Unknown,1
2021-05-27,Unknown,0
2021-05-28,Unknown,1
2021-05-29,Unknown,3
2021-05-30,Unknown,2
2021-05-31,Unknown,2
2021-06-01,Unknown,3
2021-06-02,Unknown,3
2021-06-03,Unknown,1
2021-06-04,Unknown,9
2021-06-05,Unknown,1
2021-06-06,Unknown,1
2021-06-07,Unknown,1
2021-06-08,Unknown,1
2021-06-09,Unknown,16
2021-06-10,Unknown,6
2021-06-11,Unknown,0
2021-06-12,Unknown,3
2021-06-13,Unknown,1
2021-06-14,Unknown,6
2021-06-15,Unknown,3
2021-06-16,Unknown,26
2021-06-17,Unknown,15
2021-06-18,Unknown,0
2021-06-19,Unknown,63
2021-06-20,Unknown,35
2021-06-21,Unknown,181
2021-06-22,Unknown,136
2021-06-23,Unknown,123
2021-06-24,Unknown,121
2021-06-25,Unknown,169
2021-06-26,Unknown,113
2021-06-27,Unknown,70
2021-06-28,Unknown,80
2021-06-29,Unknown,59
2021-06-30,Unknown,37
2021-07-01,Unknown,28
2021-07-02,Unknown,32
2021-07-03,Unknown,12
2021-07-04,Unknown,27
2021-07-05,Unknown,13
2021-07-06,Unknown,15
2021-07-07,Unknown,21
2021-07-08,Unknown,7
2021-07-09,Unknown,31
2021-07-10,Unknown,17
2021-07-11,Unknown,19
2021-07-12,Unknown,120
2021-07-13,Unknown,109
2021-07-14,Unknown,78
2021-07-15,Unknown,71
2021-07-16,Unknown,54
2021-07-17,Unknown,21
2021-07-18,Unknown,18
2021-07-19,Unknown,59
2021-07-20,Unknown,32
2021-07-21,Unknown,51
2021-07-22,Unknown,82
2021-07-23,Unknown,51
2021-07-24,Unknown,40
2021-07-25,Unknown,5
2021-07-26,Unknown,33
2021-07-27,Unknown,31
2021-07-28,Unknown,52
2021-07-29,Unknown,87
2021-07-30,Unknown,49
2021-07-31,Unknown,10
2021-08-01,Unknown,7
2021-08-02,Unknown,78
2021-08-03,Unknown,83
2021-08-04,Unknown,16
2021-08-05,Unknown,17
2021-08-06,Unknown,9
2021-08-07,Unknown,15
2021-08-08,Unknown,8
2021-08-09,Unknown,45
2021-08-10,Unknown,26
2021-08-11,Unknown,30
2021-08-12,Unknown,5
2021-08-13,Unknown,12
2021-08-14,Unknown,3
2021-08-15,Unknown,5
2021-08-16,Unknown,41
2021-08-17,Unknown,84
2021-08-18,Unknown,59
2021-08-19,Unknown,44
2021-08-20,Unknown,41
2021-08-21,Unknown,11
2021-08-22,Unknown,8
2021-08-23,Unknown,28
2021-08-24,Unknown,26
2021-08-25,Unknown,28
2021-08-26,Unknown,43
2021-08-27,Unknown,21
2021-08-28,Unknown,11
2021-08-29,Unknown,7
2021-08-30,Unknown,38
2021-08-31,Unknown,29
2021-09-01,Unknown,16
2021-09-02,Unknown,7
2021-09-03,Unknown,16
2021-09-04,Unknown,12
2021-09-05,Unknown,5
2021-09-06,Unknown,51
2021-09-07,Unknown,25
2021-09-08,Unknown,26
2021-09-09,Unknown,14
2021-09-10,Unknown,31
2021-09-11,Unknown,6
2021-09-12,Unknown,8
2021-09-13,Unknown,5
2021-09-14,Unknown,11
2021-09-15,Unknown,34
2021-09-16,Unknown,12
2021-09-17,Unknown,20
2021-09-18,Unknown,6
2021-09-19,Unknown,1
2021-09-20,Unknown,14
2021-09-21,Unknown,10
2021-09-22,Unknown,24
2021-09-23,Unknown,21
2021-09-24,Unknown,28
2021-09-25,Unknown,20
2021-09-26,Unknown,8
2021-09-27,Unknown,18
2021-09-28,Unknown,8
2021-09-29,Unknown,10
2021-09-30,Unknown,31
2021-10-01,Unknown,25
2021-10-02,Unknown,24
2021-10-03,Unknown,6
2021-10-04,Unknown,3
2021-10-05,Unknown,16
2021-10-06,Unknown,29
2021-10-07,Unknown,11
2021-10-08,Unknown,6
2021-10-09,Unknown,11
2021-10-10,Unknown,3
2021-10-11,Unknown,10
2021-10-12,Unknown,7
2021-10-13,Unknown,7
2021-10-14,Unknown,2
2021-10-15,Unknown,0
2021-10-16,Unknown,0
2021-10-17,Unknown,4
2021-10-18,Unknown,0
2021-10-19,Unknown,5
2021-10-20,Unknown,8
2021-10-21,Unknown,1
2021-10-22,Unknown,9
2021-10-23,Unknown,2
2021-10-24,Unknown,1
2021-10-25,Unknown,125
2021-10-26,Unknown,171
2021-10-27,Unknown,170
2021-10-28,Unknown,7
2021-10-29,Unknown,9
2021-10-30,Unknown,2
2021-10-31,Unknown,7
2021-11-01,Unknown,1
2021-11-02,Unknown,1
2021-11-03,Unknown,5
2021-11-04,Unknown,6
2021-11-05,Unknown,11
2021-11-06,Unknown,0
2021-11-07,Unknown,4
2021-11-08,Unknown,7
2021-11-09,Unknown,2
2021-11-10,Unknown,81
2021-11-11,Unknown,84
2021-11-12,Unknown,0
2021-11-13,Unknown,1
2021-11-14,Unknown,1
2021-11-15,Unknown,9
2021-11-16,Unknown,3
2021-11-17,Unknown,6
2021-11-18,Unknown,3
2021-11-19,Unknown,0
2021-11-20,Unknown,6
2021-11-21,Unknown,0
2021-11-22,Unknown,0
2021-11-23,Unknown,9
2021-11-24,Unknown,2
2021-11-25,Unknown,4
2021-11-26,Unknown,0
2021-11-27,Unknown,0
2021-11-28,Unknown,2
2021-11-29,Unknown,1
2021-11-30,Unknown,3
2021-12-01,Unknown,2
2021-12-02,Unknown,1
2021-12-03,Unknown,0
2021-12-04,Unknown,1
2021-12-05,Unknown,3
2021-12-06,Unknown,4
2021-12-07,Unknown,3
2021-12-08,Unknown,4
2021-12-09,Unknown,0
2021-12-10,Unknown,2
2021-12-11,Unknown,0
2021-12-12,Unknown,4
2021-12-13,Unknown,0
2021-12-14,Unknown,1
2021-12-15,Unknown,7
2021-12-16,Unknown,2
2021-12-17,Unknown,5
2021-12-18,Unknown,5
2021-12-19,Unknown,2
2021-12-20,Unknown,0
2021-12-21,Unknown,0
2021-12-22,Unknown,1
2021-12-23,Unknown,1
2021-12-24,Unknown,2
2021-12-25,Unknown,0
2021-12-26,Unknown,3
2021-12-27,Unknown,1
2021-12-28,Unknown,0
2021-12-29,Unknown,1
2021-12-30,Unknown,1
2021-12-31,Unknown,1
2022-01-01,Unknown,2
2022-01-02,Unknown,6
2022-01-03,Unknown,0
2022-01-04,Unknown,1
2022-01-05,Unknown,5
2022-01-06,Unknown,5
2022-01-07,Unknown,5
2022-01-08,Unknown,3
2022-01-09,Unknown,0
2022-01-10,Unknown,2
2022-01-11,Unknown,1
2022-01-12,Unknown,1
2022-01-13,Unknown,1
2022-01-14,Unknown,4
2022-01-15,Unknown,2
2022-01-16,Unknown,1
2022-01-17,Unknown,8
2022-01-18,Unknown,6
2022-01-19,Unknown,3
2022-01-20,Unknown,0
2022-01-21,Unknown,0
2022-01-22,Unknown,3
2022-01-23,Unknown,4
2022-01-24,Unknown,1
2022-01-25,Unknown,4
2022-01-26,Unknown,4
2022-01-27,Unknown,0
2022-01-28,Unknown,5
2022-01-29,Unknown,0
2022-01-30,Unknown,1
2022-01-31,Unknown,3
2022-02-01,Unknown,0
2022-02-02,Unknown,4
2022-02-03,Unknown,3
2022-02-04,Unknown,2
2022-02-05,Unknown,1
2022-02-06,Unknown,5
2022-02-07,Unknown,1
2022-02-08,Unknown,4
2022-02-09,Unknown,2
2022-02-10,Unknown,1
2022-02-11,Unknown,10
2022-02-12,Unknown,8
2022-02-13,Unknown,2
2022-02-14,Unknown,5
2022-02-15,Unknown,1
2022-02-16,Unknown,4
2022-02-17,Unknown,7
2022-02-18,Unknown,3
2022-02-19,Unknown,2
2022-02-20,Unknown,7
2022-02-21,Unknown,35
2022-02-22,Unknown,40
2022-02-23,Unknown,7
2022-02-24,Unknown,3
2022-02-25,Unknown,2
2022-02-26,Unknown,1
2022-02-27,Unknown,22
2022-02-28,Unknown,24
2022-03-01,Unknown,27
2022-03-02,Unknown,8
2022-03-03,Unknown,11
2022-03-04,Unknown,19
2022-03-05,Unknown,16
2022-03-06,Unknown,6
2022-03-07,Unknown,17
2022-03-08,Unknown,2
2022-03-09,Unknown,5
2022-03-10,Unknown,5
2022-03-11,Unknown,3
2022-03-12,Unknown,2
2022-03-13,Unknown,3
2022-03-14,Unknown,10
2022-03-15,Unknown,8
2022-03-16,Unknown,6
2022-03-17,Unknown,12
2022-03-18,Unknown,1
2022-03-19,Unknown,3
2022-03-20,Unknown,3
2022-03-21,Unknown,2
2022-03-22,Unknown,3
2022-03-23,Unknown,5
2022-03-24,Unknown,3
2022-03-25,Unknown,4
2022-03-26,Unknown,20
2022-03-27,Unknown,8
2022-03-28,Unknown,11
2022-03-29,Unknown,13
2022-03-30,Unknown,7
2022-03-31,Unknown,16
2022-04-01,Unknown,10
2022-04-02,Unknown,7
2022-04-03,Unknown,6
2022-04-04,Unknown,23
2022-04-05,Unknown,13
2022-04-06,Unknown,12
2022-04-07,Unknown,8
2022-04-08,Unknown,9
2022-04-09,Unknown,13
2022-04-10,Unknown,6
2022-04-11,Unknown,3
2022-04-12,Unknown,14
2022-04-13,Unknown,9
2022-04-14,Unknown,7
2022-04-15,Unknown,5
2022-04-16,Unknown,4
2022-04-17,Unknown,7
2022-04-18,Unknown,5
2022-04-19,Unknown,13
2022-04-20,Unknown,7
2022-04-21,Unknown,43
2022-04-22,Unknown,12
2022-04-23,Unknown,2
2022-04-24,Unknown,39
2022-04-25,Unknown,27
2022-04-26,Unknown,65
2022-04-27,Unknown,82
2022-04-28,Unknown,55
2022-04-29,Unknown,24
2022-04-30,Unknown,84
2022-05-01,Unknown,62
2022-05-02,Unknown,46
2022-05-03,Unknown,41
2022-05-04,Unknown,33
2022-05-05,Unknown,7
2022-05-06,Unknown,38
2022-05-07,Unknown,10
2022-05-08,Unknown,38
2022-05-09,Unknown,38
2022-05-10,Unknown,77
2022-05-11,Unknown,74
2022-05-12,Unknown,66
2022-05-13,Unknown,23
2022-05-14,Unknown,21
2022-05-15,Unknown,35
2022-05-16,Unknown,45
2022-05-17,Unknown,48
2022-05-18,Unknown,80
2022-05-19,Unknown,53
2022-05-20,Unknown,34
2022-05-21,Unknown,19
2022-05-22,Unknown,22
2022-05-23,Unknown,29
2022-05-24,Unknown,23
2022-05-25,Unknown,15
2022-05-26,Unknown,44
2022-05-27,Unknown,41
2022-05-28,Unknown,6
2022-05-29,Unknown,23
2022-05-30,Unknown,29
2022-05-31,Unknown,19
2022-06-01,Unknown,41
2022-06-02,Unknown,28
2022-06-03,Unknown,16
2022-06-04,Unknown,17
2022-06-05,Unknown,15
2022-06-06,Unknown,4
2022-06-07,Unknown,34
2022-06-08,Unknown,17
2022-06-09,Unknown,9
2022-06-10,Unknown,26
2022-06-11,Unknown,19
2022-06-12,Unknown,33
2022-06-13,Unknown,58
2022-06-14,Unknown,70
2022-06-15,Unknown,78
2022-06-16,Unknown,33
2022-06-17,Unknown,62
2022-06-18,Unknown,37
2022-06-19,Unknown,23
2022-06-20,Unknown,46
2022-06-21,Unknown,72
2022-06-22,Unknown,89
2022-06-23,Unknown,69
2022-06-24,Unknown,48
2022-06-25,Unknown,38
2022-06-26,Unknown,24
2022-06-27,Unknown,36
2022-06-28,Unknown,58
2022-06-29,Unknown,57
2022-06-30,Unknown,47
2022-07-01,Unknown,76
2022-07-02,Unknown,31
2022-07-03,Unknown,45
2022-07-04,Unknown,24
2022-07-05,Unknown,37
2022-07-06,Unknown,111
2022-07-07,Unknown,109
2022-07-08,Unknown,51
2022-07-09,Unknown,46
2022-07-10,Unknown,38
2022-07-11,Unknown,41
2022-07-12,Unknown,58
2022-07-13,Unknown,64
2022-07-14,Unknown,72
2022-07-15,Unknown,42
2022-07-16,Unknown,48
2022-07-17,Unknown,19
2022-07-18,Unknown,37
2022-07-19,Unknown,43
2022-07-20,Unknown,49
2022-07-21,Unknown,70
2022-07-22,Unknown,69
2022-07-23,Unknown,42
2022-07-24,Unknown,42
2022-07-25,Unknown,83
2022-07-26,Unknown,48
2022-07-27,Unknown,46
2022-07-28,Unknown,53
2022-07-29,Unknown,53
2022-07-30,Unknown,64
2022-07-31,Unknown,102
2022-08-01,Unknown,72
2022-08-02,Unknown,32
2022-08-03,Unknown,29
2022-08-04,Unknown,94
2022-08-05,Unknown,20
2022-08-06,Unknown,79
2022-08-07,Unknown,84
2022-08-08,Unknown,363
2022-08-09,Unknown,311
2022-08-10,Unknown,162
2022-08-11,Unknown,149
2022-08-12,Unknown,164
2022-08-13,Unknown,83
2022-08-14,Unknown,40
2022-08-15,Unknown,78
2022-08-16,Unknown,86
2022-08-17,Unknown,35
2022-08-18,Unknown,95
2022-08-19,Unknown,53
2022-08-20,Unknown,37
2022-08-21,Unknown,110
2022-08-22,Unknown,64
2022-08-23,Unknown,97
2022-08-24,Unknown,83
2022-08-25,Unknown,79
2022-08-26,Unknown,53
2022-08-27,Unknown,38
2022-08-28,Unknown,23
2022-08-29,Unknown,85
2022-08-30,Unknown,60
2022-08-31,Unknown,73
2022-09-01,Unknown,88
2022-09-02,Unknown,94
2022-09-03,Unknown,26
2022-09-04,Unknown,76
2022-09-05,Unknown,37
2022-09-06,Unknown,141
2022-09-07,Unknown,65
2022-09-08,Unknown,40
2022-09-09,Unknown,41
2022-09-10,Unknown,26
2022-09-11,Unknown,35
2022-09-12,Unknown,63
2022-09-13,Unknown,75
2022-09-14,Unknown,64
2022-09-15,Unknown,105
2022-09-16,Unknown,81
2022-09-17,Unknown,48
2022-09-18,Unknown,31
2022-09-19,Unknown,30
2022-09-20,Unknown,95
2022-09-21,Unknown,56
2022-09-22,Unknown,109
2022-09-23,Unknown,59
2022-09-24,Unknown,57
2022-09-25,Unknown,179
2022-09-26,Unknown,367
2022-09-27,Unknown,161
2022-09-28,Unknown,101
2022-09-29,Unknown,97
2022-09-30,Unknown,84
2022-10-01,Unknown,38
2022-10-02,Unknown,33
2022-10-03,Unknown,79
2022-10-04,Unknown,103
2022-10-05,Unknown,82
2022-10-06,Unknown,57
2022-10-07,Unknown,50
2022-10-08,Unknown,34
2022-10-09,Unknown,98
2022-10-10,Unknown,37
2022-10-11,Unknown,93
2022-10-12,Unknown,61
2022-10-13,Unknown,35
2022-10-14,Unknown,50
2022-10-15,Unknown,30
2022-10-16,Unknown,25
2022-10-17,Unknown,9
2022-10-18,Unknown,25
2022-10-19,Unknown,31
2022-10-20,Unknown,11
2022-10-21,Unknown,35
2022-10-22,Unknown,54
2022-10-23,Unknown,13
2022-10-24,Unknown,29
2022-10-25,Unknown,57
2022-10-26,Unknown,85
2022-10-27,Unknown,66
2022-10-28,Unknown,52
2022-10-29,Unknown,38
2022-10-30,Unknown,20
2022-10-31,Unknown,77
2022-11-01,Unknown,80
2022-11-02,Unknown,52
2022-11-03,Unknown,51
2022-11-04,Unknown,35
2022-11-05,Unknown,18
2022-11-06,Unknown,29
2022-11-07,Unknown,63
2022-11-08,Unknown,25
2022-11-09,Unknown,63
2022-11-10,Unknown,17
2022-11-11,Unknown,36
2022-11-12,Unknown,19
2022-11-13,Unknown,40
2022-11-14,Unknown,53
2022-11-15,Unknown,15
2022-11-16,Unknown,18
2022-11-17,Unknown,39
2022-11-18,Unknown,26
2022-11-19,Unknown,9
2022-11-20,Unknown,8
2022-11-21,Unknown,6
2022-11-22,Unknown,4
2022-11-23,Unknown,15
2022-11-24,Unknown,6
2022-11-25,Unknown,4
2022-11-26,Unknown,6
2022-11-27,Unknown,0
2022-11-28,Unknown,33
2022-11-29,Unknown,20
2022-11-30,Unknown,4
2022-12-01,Unknown,6
2022-12-02,Unknown,15
2022-12-03,Unknown,6
2022-12-04,Unknown,8
2022-12-05,Unknown,6
2022-12-06,Unknown,4
2022-12-07,Unknown,3
2022-12-08,Unknown,5
2022-12-09,Unknown,6
2022-12-10,Unknown,10
2022-12-11,Unknown,6
2022-12-12,Unknown,5
2022-12-13,Unknown,4
2022-12-14,Unknown,8
2022-12-15,Unknown,9
2022-12-16,Unknown,3
2022-12-17,Unknown,3
2022-12-18,Unknown,4
2022-12-19,Unknown,14
2022-12-20,Unknown,3
2022-12-21,Unknown,1
2022-12-22,Unknown,5
2022-12-23,Unknown,5
2022-12-24,Unknown,0
2022-12-25,Unknown,2
2022-12-26,Unknown,7
2022-12-27,Unknown,4
2022-12-28,Unknown,6
2022-12-29,Unknown,4
2022-12-30,Unknown,3
2022-12-31,Unknown,0
2023-01-01,Unknown,6
2023-01-02,Unknown,4
