Date,New and returning viewers,Views
2020-06-29,Returning viewers,0
2020-06-30,Returning viewers,0
2020-07-01,Returning viewers,0
2020-07-02,Returning viewers,0
2020-07-03,Returning viewers,0
2020-07-04,Returning viewers,0
2020-07-05,Returning viewers,0
2020-07-06,Returning viewers,0
2020-07-07,Returning viewers,0
2020-07-08,Returning viewers,0
2020-07-09,Returning viewers,0
2020-07-10,Returning viewers,0
2020-07-11,Returning viewers,0
2020-07-12,Returning viewers,0
2020-07-13,Returning viewers,0
2020-07-14,Returning viewers,0
2020-07-15,Returning viewers,0
2020-07-16,Returning viewers,0
2020-07-17,Returning viewers,0
2020-07-18,Returning viewers,0
2020-07-19,Returning viewers,0
2020-07-20,Returning viewers,0
2020-07-21,Returning viewers,0
2020-07-22,Returning viewers,0
2020-07-23,Returning viewers,0
2020-07-24,Returning viewers,0
2020-07-25,Returning viewers,0
2020-07-26,Returning viewers,0
2020-07-27,Returning viewers,0
2020-07-28,Returning viewers,0
2020-07-29,Returning viewers,0
2020-07-30,Returning viewers,0
2020-07-31,Returning viewers,0
2020-08-01,Returning viewers,0
2020-08-02,Returning viewers,0
2020-08-03,Returning viewers,0
2020-08-04,Returning viewers,0
2020-08-05,Returning viewers,0
2020-08-06,Returning viewers,0
2020-08-07,Returning viewers,0
2020-08-08,Returning viewers,0
2020-08-09,Returning viewers,0
2020-08-10,Returning viewers,0
2020-08-11,Returning viewers,0
2020-08-12,Returning viewers,0
2020-08-13,Returning viewers,0
2020-08-14,Returning viewers,0
2020-08-15,Returning viewers,0
2020-08-16,Returning viewers,0
2020-08-17,Returning viewers,0
2020-08-18,Returning viewers,0
2020-08-19,Returning viewers,0
2020-08-20,Returning viewers,0
2020-08-21,Returning viewers,0
2020-08-22,Returning viewers,0
2020-08-23,Returning viewers,0
2020-08-24,Returning viewers,0
2020-08-25,Returning viewers,0
2020-08-26,Returning viewers,0
2020-08-27,Returning viewers,0
2020-08-28,Returning viewers,0
2020-08-29,Returning viewers,0
2020-08-30,Returning viewers,0
2020-08-31,Returning viewers,0
2020-09-01,Returning viewers,0
2020-09-02,Returning viewers,0
2020-09-03,Returning viewers,0
2020-09-04,Returning viewers,0
2020-09-05,Returning viewers,0
2020-09-06,Returning viewers,0
2020-09-07,Returning viewers,0
2020-09-08,Returning viewers,0
2020-09-09,Returning viewers,0
2020-09-10,Returning viewers,0
2020-09-11,Returning viewers,0
2020-09-12,Returning viewers,0
2020-09-13,Returning viewers,0
2020-09-14,Returning viewers,0
2020-09-15,Returning viewers,0
2020-09-16,Returning viewers,0
2020-09-17,Returning viewers,0
2020-09-18,Returning viewers,0
2020-09-19,Returning viewers,0
2020-09-20,Returning viewers,0
2020-09-21,Returning viewers,0
2020-09-22,Returning viewers,0
2020-09-23,Returning viewers,0
2020-09-24,Returning viewers,0
2020-09-25,Returning viewers,0
2020-09-26,Returning viewers,0
2020-09-27,Returning viewers,0
2020-09-28,Returning viewers,0
2020-09-29,Returning viewers,0
2020-09-30,Returning viewers,0
2020-10-01,Returning viewers,0
2020-10-02,Returning viewers,0
2020-10-03,Returning viewers,0
2020-10-04,Returning viewers,0
2020-10-05,Returning viewers,0
2020-10-06,Returning viewers,0
2020-10-07,Returning viewers,0
2020-10-08,Returning viewers,0
2020-10-09,Returning viewers,0
2020-10-10,Returning viewers,0
2020-10-11,Returning viewers,0
2020-10-12,Returning viewers,0
2020-10-13,Returning viewers,0
2020-10-14,Returning viewers,0
2020-10-15,Returning viewers,0
2020-10-16,Returning viewers,0
2020-10-17,Returning viewers,0
2020-10-18,Returning viewers,0
2020-10-19,Returning viewers,0
2020-10-20,Returning viewers,0
2020-10-21,Returning viewers,0
2020-10-22,Returning viewers,0
2020-10-23,Returning viewers,0
2020-10-24,Returning viewers,0
2020-10-25,Returning viewers,0
2020-10-26,Returning viewers,0
2020-10-27,Returning viewers,0
2020-10-28,Returning viewers,0
2020-10-29,Returning viewers,0
2020-10-30,Returning viewers,0
2020-10-31,Returning viewers,0
2020-11-01,Returning viewers,0
2020-11-02,Returning viewers,0
2020-11-03,Returning viewers,0
2020-11-04,Returning viewers,0
2020-11-05,Returning viewers,0
2020-11-06,Returning viewers,0
2020-11-07,Returning viewers,0
2020-11-08,Returning viewers,0
2020-11-09,Returning viewers,0
2020-11-10,Returning viewers,0
2020-11-11,Returning viewers,0
2020-11-12,Returning viewers,0
2020-11-13,Returning viewers,0
2020-11-14,Returning viewers,0
2020-11-15,Returning viewers,0
2020-11-16,Returning viewers,0
2020-11-17,Returning viewers,0
2020-11-18,Returning viewers,0
2020-11-19,Returning viewers,0
2020-11-20,Returning viewers,0
2020-11-21,Returning viewers,0
2020-11-22,Returning viewers,0
2020-11-23,Returning viewers,0
2020-11-24,Returning viewers,0
2020-11-25,Returning viewers,0
2020-11-26,Returning viewers,0
2020-11-27,Returning viewers,0
2020-11-28,Returning viewers,0
2020-11-29,Returning viewers,0
2020-11-30,Returning viewers,0
2020-12-01,Returning viewers,0
2020-12-02,Returning viewers,0
2020-12-03,Returning viewers,0
2020-12-04,Returning viewers,0
2020-12-05,Returning viewers,0
2020-12-06,Returning viewers,0
2020-12-07,Returning viewers,0
2020-12-08,Returning viewers,0
2020-12-09,Returning viewers,0
2020-12-10,Returning viewers,0
2020-12-11,Returning viewers,0
2020-12-12,Returning viewers,0
2020-12-13,Returning viewers,0
2020-12-14,Returning viewers,0
2020-12-15,Returning viewers,0
2020-12-16,Returning viewers,0
2020-12-17,Returning viewers,0
2020-12-18,Returning viewers,0
2020-12-19,Returning viewers,0
2020-12-20,Returning viewers,0
2020-12-21,Returning viewers,0
2020-12-22,Returning viewers,0
2020-12-23,Returning viewers,0
2020-12-24,Returning viewers,0
2020-12-25,Returning viewers,0
2020-12-26,Returning viewers,0
2020-12-27,Returning viewers,0
2020-12-28,Returning viewers,0
2020-12-29,Returning viewers,0
2020-12-30,Returning viewers,0
2020-12-31,Returning viewers,0
2021-01-01,Returning viewers,0
2021-01-02,Returning viewers,0
2021-01-03,Returning viewers,0
2021-01-04,Returning viewers,0
2021-01-05,Returning viewers,0
2021-01-06,Returning viewers,0
2021-01-07,Returning viewers,0
2021-01-08,Returning viewers,0
2021-01-09,Returning viewers,0
2021-01-10,Returning viewers,0
2021-01-11,Returning viewers,0
2021-01-12,Returning viewers,0
2021-01-13,Returning viewers,0
2021-01-14,Returning viewers,0
2021-01-15,Returning viewers,0
2021-01-16,Returning viewers,0
2021-01-17,Returning viewers,0
2021-01-18,Returning viewers,0
2021-01-19,Returning viewers,0
2021-01-20,Returning viewers,0
2021-01-21,Returning viewers,0
2021-01-22,Returning viewers,0
2021-01-23,Returning viewers,0
2021-01-24,Returning viewers,0
2021-01-25,Returning viewers,0
2021-01-26,Returning viewers,0
2021-01-27,Returning viewers,0
2021-01-28,Returning viewers,0
2021-01-29,Returning viewers,0
2021-01-30,Returning viewers,0
2021-01-31,Returning viewers,0
2021-02-01,Returning viewers,0
2021-02-02,Returning viewers,0
2021-02-03,Returning viewers,0
2021-02-04,Returning viewers,0
2021-02-05,Returning viewers,0
2021-02-06,Returning viewers,0
2021-02-07,Returning viewers,0
2021-02-08,Returning viewers,0
2021-02-09,Returning viewers,0
2021-02-10,Returning viewers,0
2021-02-11,Returning viewers,0
2021-02-12,Returning viewers,0
2021-02-13,Returning viewers,0
2021-02-14,Returning viewers,0
2021-02-15,Returning viewers,0
2021-02-16,Returning viewers,0
2021-02-17,Returning viewers,0
2021-02-18,Returning viewers,0
2021-02-19,Returning viewers,0
2021-02-20,Returning viewers,0
2021-02-21,Returning viewers,0
2021-02-22,Returning viewers,0
2021-02-23,Returning viewers,0
2021-02-24,Returning viewers,0
2021-02-25,Returning viewers,0
2021-02-26,Returning viewers,0
2021-02-27,Returning viewers,0
2021-02-28,Returning viewers,0
2021-03-01,Returning viewers,0
2021-03-02,Returning viewers,0
2021-03-03,Returning viewers,0
2021-03-04,Returning viewers,0
2021-03-05,Returning viewers,0
2021-03-06,Returning viewers,0
2021-03-07,Returning viewers,0
2021-03-08,Returning viewers,0
2021-03-09,Returning viewers,0
2021-03-10,Returning viewers,0
2021-03-11,Returning viewers,0
2021-03-12,Returning viewers,0
2021-03-13,Returning viewers,0
2021-03-14,Returning viewers,0
2021-03-15,Returning viewers,0
2021-03-16,Returning viewers,0
2021-03-17,Returning viewers,0
2021-03-18,Returning viewers,0
2021-03-19,Returning viewers,0
2021-03-20,Returning viewers,0
2021-03-21,Returning viewers,0
2021-03-22,Returning viewers,0
2021-03-23,Returning viewers,0
2021-03-24,Returning viewers,0
2021-03-25,Returning viewers,0
2021-03-26,Returning viewers,0
2021-03-27,Returning viewers,0
2021-03-28,Returning viewers,0
2021-03-29,Returning viewers,0
2021-03-30,Returning viewers,0
2021-03-31,Returning viewers,0
2021-04-01,Returning viewers,0
2021-04-02,Returning viewers,0
2021-04-03,Returning viewers,0
2021-04-04,Returning viewers,0
2021-04-05,Returning viewers,0
2021-04-06,Returning viewers,0
2021-04-07,Returning viewers,0
2021-04-08,Returning viewers,0
2021-04-09,Returning viewers,0
2021-04-10,Returning viewers,0
2021-04-11,Returning viewers,0
2021-04-12,Returning viewers,0
2021-04-13,Returning viewers,0
2021-04-14,Returning viewers,0
2021-04-15,Returning viewers,0
2021-04-16,Returning viewers,0
2021-04-17,Returning viewers,0
2021-04-18,Returning viewers,0
2021-04-19,Returning viewers,0
2021-04-20,Returning viewers,0
2021-04-21,Returning viewers,0
2021-04-22,Returning viewers,0
2021-04-23,Returning viewers,0
2021-04-24,Returning viewers,0
2021-04-25,Returning viewers,0
2021-04-26,Returning viewers,0
2021-04-27,Returning viewers,0
2021-04-28,Returning viewers,0
2021-04-29,Returning viewers,0
2021-04-30,Returning viewers,0
2021-05-01,Returning viewers,0
2021-05-02,Returning viewers,0
2021-05-03,Returning viewers,0
2021-05-04,Returning viewers,0
2021-05-05,Returning viewers,0
2021-05-06,Returning viewers,0
2021-05-07,Returning viewers,0
2021-05-08,Returning viewers,0
2021-05-09,Returning viewers,0
2021-05-10,Returning viewers,0
2021-05-11,Returning viewers,0
2021-05-12,Returning viewers,0
2021-05-13,Returning viewers,0
2021-05-14,Returning viewers,0
2021-05-15,Returning viewers,0
2021-05-16,Returning viewers,0
2021-05-17,Returning viewers,0
2021-05-18,Returning viewers,0
2021-05-19,Returning viewers,0
2021-05-20,Returning viewers,0
2021-05-21,Returning viewers,0
2021-05-22,Returning viewers,0
2021-05-23,Returning viewers,0
2021-05-24,Returning viewers,0
2021-05-25,Returning viewers,0
2021-05-26,Returning viewers,0
2021-05-27,Returning viewers,0
2021-05-28,Returning viewers,0
2021-05-29,Returning viewers,0
2021-05-30,Returning viewers,0
2021-05-31,Returning viewers,0
2021-06-01,Returning viewers,0
2021-06-02,Returning viewers,0
2021-06-03,Returning viewers,0
2021-06-04,Returning viewers,0
2021-06-05,Returning viewers,0
2021-06-06,Returning viewers,0
2021-06-07,Returning viewers,0
2021-06-08,Returning viewers,0
2021-06-09,Returning viewers,0
2021-06-10,Returning viewers,0
2021-06-11,Returning viewers,0
2021-06-12,Returning viewers,0
2021-06-13,Returning viewers,0
2021-06-14,Returning viewers,0
2021-06-15,Returning viewers,0
2021-06-16,Returning viewers,0
2021-06-17,Returning viewers,0
2021-06-18,Returning viewers,0
2021-06-19,Returning viewers,0
2021-06-20,Returning viewers,0
2021-06-21,Returning viewers,0
2021-06-22,Returning viewers,0
2021-06-23,Returning viewers,0
2021-06-24,Returning viewers,0
2021-06-25,Returning viewers,0
2021-06-26,Returning viewers,0
2021-06-27,Returning viewers,0
2021-06-28,Returning viewers,0
2021-06-29,Returning viewers,0
2021-06-30,Returning viewers,0
2021-07-01,Returning viewers,0
2021-07-02,Returning viewers,0
2021-07-03,Returning viewers,0
2021-07-04,Returning viewers,0
2021-07-05,Returning viewers,0
2021-07-06,Returning viewers,0
2021-07-07,Returning viewers,0
2021-07-08,Returning viewers,0
2021-07-09,Returning viewers,0
2021-07-10,Returning viewers,0
2021-07-11,Returning viewers,0
2021-07-12,Returning viewers,0
2021-07-13,Returning viewers,0
2021-07-14,Returning viewers,0
2021-07-15,Returning viewers,0
2021-07-16,Returning viewers,0
2021-07-17,Returning viewers,0
2021-07-18,Returning viewers,0
2021-07-19,Returning viewers,0
2021-07-20,Returning viewers,0
2021-07-21,Returning viewers,0
2021-07-22,Returning viewers,0
2021-07-23,Returning viewers,0
2021-07-24,Returning viewers,0
2021-07-25,Returning viewers,0
2021-07-26,Returning viewers,0
2021-07-27,Returning viewers,0
2021-07-28,Returning viewers,0
2021-07-29,Returning viewers,0
2021-07-30,Returning viewers,0
2021-07-31,Returning viewers,0
2021-08-01,Returning viewers,0
2021-08-02,Returning viewers,0
2021-08-03,Returning viewers,0
2021-08-04,Returning viewers,0
2021-08-05,Returning viewers,0
2021-08-06,Returning viewers,0
2021-08-07,Returning viewers,0
2021-08-08,Returning viewers,0
2021-08-09,Returning viewers,0
2021-08-10,Returning viewers,0
2021-08-11,Returning viewers,0
2021-08-12,Returning viewers,0
2021-08-13,Returning viewers,0
2021-08-14,Returning viewers,0
2021-08-15,Returning viewers,0
2021-08-16,Returning viewers,0
2021-08-17,Returning viewers,0
2021-08-18,Returning viewers,0
2021-08-19,Returning viewers,0
2021-08-20,Returning viewers,0
2021-08-21,Returning viewers,0
2021-08-22,Returning viewers,0
2021-08-23,Returning viewers,0
2021-08-24,Returning viewers,0
2021-08-25,Returning viewers,0
2021-08-26,Returning viewers,0
2021-08-27,Returning viewers,0
2021-08-28,Returning viewers,0
2021-08-29,Returning viewers,0
2021-08-30,Returning viewers,0
2021-08-31,Returning viewers,0
2021-09-01,Returning viewers,0
2021-09-02,Returning viewers,0
2021-09-03,Returning viewers,0
2021-09-04,Returning viewers,0
2021-09-05,Returning viewers,0
2021-09-06,Returning viewers,0
2021-09-07,Returning viewers,0
2021-09-08,Returning viewers,0
2021-09-09,Returning viewers,0
2021-09-10,Returning viewers,0
2021-09-11,Returning viewers,0
2021-09-12,Returning viewers,0
2021-09-13,Returning viewers,0
2021-09-14,Returning viewers,0
2021-09-15,Returning viewers,0
2021-09-16,Returning viewers,0
2021-09-17,Returning viewers,0
2021-09-18,Returning viewers,0
2021-09-19,Returning viewers,0
2021-09-20,Returning viewers,0
2021-09-21,Returning viewers,0
2021-09-22,Returning viewers,0
2021-09-23,Returning viewers,0
2021-09-24,Returning viewers,0
2021-09-25,Returning viewers,0
2021-09-26,Returning viewers,0
2021-09-27,Returning viewers,0
2021-09-28,Returning viewers,0
2021-09-29,Returning viewers,0
2021-09-30,Returning viewers,0
2021-10-01,Returning viewers,0
2021-10-02,Returning viewers,0
2021-10-03,Returning viewers,0
2021-10-04,Returning viewers,0
2021-10-05,Returning viewers,0
2021-10-06,Returning viewers,0
2021-10-07,Returning viewers,0
2021-10-08,Returning viewers,0
2021-10-09,Returning viewers,0
2021-10-10,Returning viewers,0
2021-10-11,Returning viewers,0
2021-10-12,Returning viewers,0
2021-10-13,Returning viewers,0
2021-10-14,Returning viewers,0
2021-10-15,Returning viewers,0
2021-10-16,Returning viewers,0
2021-10-17,Returning viewers,0
2021-10-18,Returning viewers,0
2021-10-19,Returning viewers,0
2021-10-20,Returning viewers,0
2021-10-21,Returning viewers,0
2021-10-22,Returning viewers,0
2021-10-23,Returning viewers,0
2021-10-24,Returning viewers,0
2021-10-25,Returning viewers,0
2021-10-26,Returning viewers,0
2021-10-27,Returning viewers,0
2021-10-28,Returning viewers,0
2021-10-29,Returning viewers,0
2021-10-30,Returning viewers,0
2021-10-31,Returning viewers,0
2021-11-01,Returning viewers,0
2021-11-02,Returning viewers,0
2021-11-03,Returning viewers,0
2021-11-04,Returning viewers,0
2021-11-05,Returning viewers,0
2021-11-06,Returning viewers,0
2021-11-07,Returning viewers,0
2021-11-08,Returning viewers,0
2021-11-09,Returning viewers,0
2021-11-10,Returning viewers,0
2021-11-11,Returning viewers,0
2021-11-12,Returning viewers,0
2021-11-13,Returning viewers,0
2021-11-14,Returning viewers,0
2021-11-15,Returning viewers,0
2021-11-16,Returning viewers,0
2021-11-17,Returning viewers,0
2021-11-18,Returning viewers,0
2021-11-19,Returning viewers,0
2021-11-20,Returning viewers,0
2021-11-21,Returning viewers,0
2021-11-22,Returning viewers,0
2021-11-23,Returning viewers,0
2021-11-24,Returning viewers,0
2021-11-25,Returning viewers,0
2021-11-26,Returning viewers,0
2021-11-27,Returning viewers,0
2021-11-28,Returning viewers,0
2021-11-29,Returning viewers,0
2021-11-30,Returning viewers,0
2021-12-01,Returning viewers,0
2021-12-02,Returning viewers,0
2021-12-03,Returning viewers,0
2021-12-04,Returning viewers,0
2021-12-05,Returning viewers,0
2021-12-06,Returning viewers,0
2021-12-07,Returning viewers,0
2021-12-08,Returning viewers,0
2021-12-09,Returning viewers,0
2021-12-10,Returning viewers,0
2021-12-11,Returning viewers,0
2021-12-12,Returning viewers,0
2021-12-13,Returning viewers,0
2021-12-14,Returning viewers,0
2021-12-15,Returning viewers,0
2021-12-16,Returning viewers,0
2021-12-17,Returning viewers,0
2021-12-18,Returning viewers,0
2021-12-19,Returning viewers,0
2021-12-20,Returning viewers,0
2021-12-21,Returning viewers,0
2021-12-22,Returning viewers,0
2021-12-23,Returning viewers,0
2021-12-24,Returning viewers,0
2021-12-25,Returning viewers,0
2021-12-26,Returning viewers,0
2021-12-27,Returning viewers,0
2021-12-28,Returning viewers,0
2021-12-29,Returning viewers,0
2021-12-30,Returning viewers,0
2021-12-31,Returning viewers,0
2022-01-01,Returning viewers,0
2022-01-02,Returning viewers,0
2022-01-03,Returning viewers,0
2022-01-04,Returning viewers,0
2022-01-05,Returning viewers,0
2022-01-06,Returning viewers,0
2022-01-07,Returning viewers,0
2022-01-08,Returning viewers,0
2022-01-09,Returning viewers,0
2022-01-10,Returning viewers,0
2022-01-11,Returning viewers,0
2022-01-12,Returning viewers,0
2022-01-13,Returning viewers,0
2022-01-14,Returning viewers,0
2022-01-15,Returning viewers,0
2022-01-16,Returning viewers,0
2022-01-17,Returning viewers,0
2022-01-18,Returning viewers,0
2022-01-19,Returning viewers,0
2022-01-20,Returning viewers,0
2022-01-21,Returning viewers,0
2022-01-22,Returning viewers,0
2022-01-23,Returning viewers,0
2022-01-24,Returning viewers,0
2022-01-25,Returning viewers,0
2022-01-26,Returning viewers,0
2022-01-27,Returning viewers,0
2022-01-28,Returning viewers,0
2022-01-29,Returning viewers,0
2022-01-30,Returning viewers,0
2022-01-31,Returning viewers,0
2022-02-01,Returning viewers,0
2022-02-02,Returning viewers,0
2022-02-03,Returning viewers,0
2022-02-04,Returning viewers,0
2022-02-05,Returning viewers,0
2022-02-06,Returning viewers,0
2022-02-07,Returning viewers,0
2022-02-08,Returning viewers,0
2022-02-09,Returning viewers,0
2022-02-10,Returning viewers,0
2022-02-11,Returning viewers,0
2022-02-12,Returning viewers,0
2022-02-13,Returning viewers,0
2022-02-14,Returning viewers,0
2022-02-15,Returning viewers,0
2022-02-16,Returning viewers,0
2022-02-17,Returning viewers,0
2022-02-18,Returning viewers,0
2022-02-19,Returning viewers,0
2022-02-20,Returning viewers,0
2022-02-21,Returning viewers,0
2022-02-22,Returning viewers,0
2022-02-23,Returning viewers,0
2022-02-24,Returning viewers,0
2022-02-25,Returning viewers,0
2022-02-26,Returning viewers,0
2022-02-27,Returning viewers,0
2022-02-28,Returning viewers,0
2022-03-01,Returning viewers,0
2022-03-02,Returning viewers,0
2022-03-03,Returning viewers,0
2022-03-04,Returning viewers,0
2022-03-05,Returning viewers,0
2022-03-06,Returning viewers,0
2022-03-07,Returning viewers,0
2022-03-08,Returning viewers,0
2022-03-09,Returning viewers,0
2022-03-10,Returning viewers,0
2022-03-11,Returning viewers,0
2022-03-12,Returning viewers,0
2022-03-13,Returning viewers,0
2022-03-14,Returning viewers,0
2022-03-15,Returning viewers,0
2022-03-16,Returning viewers,0
2022-03-17,Returning viewers,0
2022-03-18,Returning viewers,0
2022-03-19,Returning viewers,0
2022-03-20,Returning viewers,0
2022-03-21,Returning viewers,0
2022-03-22,Returning viewers,0
2022-03-23,Returning viewers,0
2022-03-24,Returning viewers,0
2022-03-25,Returning viewers,0
2022-03-26,Returning viewers,0
2022-03-27,Returning viewers,0
2022-03-28,Returning viewers,0
2022-03-29,Returning viewers,0
