Date,Subscription status,Views
2020-06-28,Subscribed,1
2020-06-29,Subscribed,16
2020-06-30,Subscribed,23
2020-07-01,Subscribed,23
2020-07-02,Subscribed,26
2020-07-03,Subscribed,22
2020-07-04,Subscribed,28
2020-07-05,Subscribed,32
2020-07-06,Subscribed,9
2020-07-07,Subscribed,1
2020-07-08,Subscribed,0
2020-07-09,Subscribed,2
2020-07-10,Subscribed,0
2020-07-11,Subscribed,0
2020-07-12,Subscribed,0
2020-07-13,Subscribed,29
2020-07-14,Subscribed,49
2020-07-15,Subscribed,21
2020-07-16,Subscribed,31
2020-07-17,Subscribed,14
2020-07-18,Subscribed,6
2020-07-19,Subscribed,6
2020-07-20,Subscribed,10
2020-07-21,Subscribed,17
2020-07-22,Subscribed,13
2020-07-23,Subscribed,51
2020-07-24,Subscribed,41
2020-07-25,Subscribed,25
2020-07-26,Subscribed,22
2020-07-27,Subscribed,9
2020-07-28,Subscribed,35
2020-07-29,Subscribed,18
2020-07-30,Subscribed,20
2020-07-31,Subscribed,8
2020-08-01,Subscribed,2
2020-08-02,Subscribed,5
2020-08-03,Subscribed,14
2020-08-04,Subscribed,10
2020-08-05,Subscribed,74
2020-08-06,Subscribed,34
2020-08-07,Subscribed,15
2020-08-08,Subscribed,10
2020-08-09,Subscribed,24
2020-08-10,Subscribed,31
2020-08-11,Subscribed,45
2020-08-12,Subscribed,43
2020-08-13,Subscribed,36
2020-08-14,Subscribed,16
2020-08-15,Subscribed,15
2020-08-16,Subscribed,6
2020-08-17,Subscribed,18
2020-08-18,Subscribed,15
2020-08-19,Subscribed,20
2020-08-20,Subscribed,16
2020-08-21,Subscribed,11
2020-08-22,Subscribed,1
2020-08-23,Subscribed,4
2020-08-24,Subscribed,9
2020-08-25,Subscribed,22
2020-08-26,Subscribed,14
2020-08-27,Subscribed,15
2020-08-28,Subscribed,4
2020-08-29,Subscribed,1
2020-08-30,Subscribed,6
2020-08-31,Subscribed,18
2020-09-01,Subscribed,30
2020-09-02,Subscribed,21
2020-09-03,Subscribed,33
2020-09-04,Subscribed,15
2020-09-05,Subscribed,17
2020-09-06,Subscribed,29
2020-09-07,Subscribed,13
2020-09-08,Subscribed,28
2020-09-09,Subscribed,23
2020-09-10,Subscribed,5
2020-09-11,Subscribed,14
2020-09-12,Subscribed,8
2020-09-13,Subscribed,0
2020-09-14,Subscribed,13
2020-09-15,Subscribed,16
2020-09-16,Subscribed,14
2020-09-17,Subscribed,22
2020-09-18,Subscribed,18
2020-09-19,Subscribed,29
2020-09-20,Subscribed,15
2020-09-21,Subscribed,44
2020-09-22,Subscribed,52
2020-09-23,Subscribed,22
2020-09-24,Subscribed,35
2020-09-25,Subscribed,32
2020-09-26,Subscribed,16
2020-09-27,Subscribed,18
2020-09-28,Subscribed,21
2020-09-29,Subscribed,19
2020-09-30,Subscribed,18
2020-10-01,Subscribed,19
2020-10-02,Subscribed,3
2020-10-03,Subscribed,15
2020-10-04,Subscribed,19
2020-10-05,Subscribed,8
2020-10-06,Subscribed,16
2020-10-07,Subscribed,14
2020-10-08,Subscribed,17
2020-10-09,Subscribed,1
2020-10-10,Subscribed,11
2020-10-11,Subscribed,11
2020-10-12,Subscribed,6
2020-10-13,Subscribed,13
2020-10-14,Subscribed,32
2020-10-15,Subscribed,13
2020-10-16,Subscribed,23
2020-10-17,Subscribed,5
2020-10-18,Subscribed,11
2020-10-19,Subscribed,0
2020-10-20,Subscribed,5
2020-10-21,Subscribed,3
2020-10-22,Subscribed,0
2020-10-23,Subscribed,1
2020-10-24,Subscribed,0
2020-10-25,Subscribed,4
2020-10-26,Subscribed,11
2020-10-27,Subscribed,7
2020-10-28,Subscribed,0
2020-10-29,Subscribed,1
2020-10-30,Subscribed,0
2020-10-31,Subscribed,0
2020-11-01,Subscribed,1
2020-11-02,Subscribed,1
2020-11-03,Subscribed,0
2020-11-04,Subscribed,0
2020-11-05,Subscribed,0
2020-11-06,Subscribed,2
2020-11-07,Subscribed,0
2020-11-08,Subscribed,0
2020-11-09,Subscribed,2
2020-11-10,Subscribed,0
2020-11-11,Subscribed,1
2020-11-12,Subscribed,0
2020-11-13,Subscribed,1
2020-11-14,Subscribed,0
2020-11-15,Subscribed,0
2020-11-16,Subscribed,0
2020-11-17,Subscribed,1
2020-11-18,Subscribed,1
2020-11-19,Subscribed,0
2020-11-20,Subscribed,0
2020-11-21,Subscribed,0
2020-11-22,Subscribed,0
2020-11-23,Subscribed,0
2020-11-24,Subscribed,0
2020-11-25,Subscribed,3
2020-11-26,Subscribed,0
2020-11-27,Subscribed,0
2020-11-28,Subscribed,0
2020-11-29,Subscribed,1
2020-11-30,Subscribed,0
2020-12-01,Subscribed,5
2020-12-02,Subscribed,0
2020-12-03,Subscribed,0
2020-12-04,Subscribed,2
2020-12-05,Subscribed,2
2020-12-06,Subscribed,0
2020-12-07,Subscribed,0
2020-12-08,Subscribed,1
2020-12-09,Subscribed,1
2020-12-10,Subscribed,0
2020-12-11,Subscribed,0
2020-12-12,Subscribed,0
2020-12-13,Subscribed,1
2020-12-14,Subscribed,0
2020-12-15,Subscribed,0
2020-12-16,Subscribed,0
2020-12-17,Subscribed,3
2020-12-18,Subscribed,0
2020-12-19,Subscribed,0
2020-12-20,Subscribed,0
2020-12-21,Subscribed,1
2020-12-22,Subscribed,1
2020-12-23,Subscribed,0
2020-12-24,Subscribed,0
2020-12-25,Subscribed,0
2020-12-26,Subscribed,1
2020-12-27,Subscribed,0
2020-12-28,Subscribed,0
2020-12-29,Subscribed,0
2020-12-30,Subscribed,0
2020-12-31,Subscribed,0
2021-01-01,Subscribed,0
2021-01-02,Subscribed,0
2021-01-03,Subscribed,0
2021-01-04,Subscribed,0
2021-01-05,Subscribed,4
2021-01-06,Subscribed,3
2021-01-07,Subscribed,0
2021-01-08,Subscribed,1
2021-01-09,Subscribed,0
2021-01-10,Subscribed,1
2021-01-11,Subscribed,0
2021-01-12,Subscribed,0
2021-01-13,Subscribed,0
2021-01-14,Subscribed,0
2021-01-15,Subscribed,0
2021-01-16,Subscribed,0
2021-01-17,Subscribed,0
2021-01-18,Subscribed,1
2021-01-19,Subscribed,0
2021-01-20,Subscribed,0
2021-01-21,Subscribed,1
2021-01-22,Subscribed,0
2021-01-23,Subscribed,0
2021-01-24,Subscribed,0
2021-01-25,Subscribed,0
2021-01-26,Subscribed,0
2021-01-27,Subscribed,3
2021-01-28,Subscribed,0
2021-01-29,Subscribed,0
2021-01-30,Subscribed,2
2021-01-31,Subscribed,0
2021-02-01,Subscribed,0
2021-02-02,Subscribed,0
2021-02-03,Subscribed,0
2021-02-04,Subscribed,0
2021-02-05,Subscribed,0
2021-02-06,Subscribed,0
2021-02-07,Subscribed,0
2021-02-08,Subscribed,0
2021-02-09,Subscribed,1
2021-02-10,Subscribed,0
2021-02-11,Subscribed,0
2021-02-12,Subscribed,0
2021-02-13,Subscribed,1
2021-02-14,Subscribed,0
2021-02-15,Subscribed,1
2021-02-16,Subscribed,0
2021-02-17,Subscribed,0
2021-02-18,Subscribed,0
2021-02-19,Subscribed,1
2021-02-20,Subscribed,0
2021-02-21,Subscribed,0
2021-02-22,Subscribed,0
2021-02-23,Subscribed,8
2021-02-24,Subscribed,2
2021-02-25,Subscribed,1
2021-02-26,Subscribed,0
2021-02-27,Subscribed,0
2021-02-28,Subscribed,0
2021-03-01,Subscribed,4
2021-03-02,Subscribed,0
2021-03-03,Subscribed,0
2021-03-04,Subscribed,1
2021-03-05,Subscribed,1
2021-03-06,Subscribed,1
2021-03-07,Subscribed,6
2021-03-08,Subscribed,0
2021-03-09,Subscribed,0
2021-03-10,Subscribed,0
2021-03-11,Subscribed,0
2021-03-12,Subscribed,0
2021-03-13,Subscribed,0
2021-03-14,Subscribed,0
2021-03-15,Subscribed,0
2021-03-16,Subscribed,0
2021-03-17,Subscribed,7
2021-03-18,Subscribed,0
2021-03-19,Subscribed,0
2021-03-20,Subscribed,1
2021-03-21,Subscribed,0
2021-03-22,Subscribed,0
2021-03-23,Subscribed,0
2021-03-24,Subscribed,3
2021-03-25,Subscribed,0
2021-03-26,Subscribed,0
2021-03-27,Subscribed,0
2021-03-28,Subscribed,0
2021-03-29,Subscribed,0
2021-03-30,Subscribed,0
2021-03-31,Subscribed,0
2021-04-01,Subscribed,0
2021-04-02,Subscribed,0
2021-04-03,Subscribed,0
2021-04-04,Subscribed,0
2021-04-05,Subscribed,0
2021-04-06,Subscribed,0
2021-04-07,Subscribed,0
2021-04-08,Subscribed,0
2021-04-09,Subscribed,0
2021-04-10,Subscribed,1
2021-04-11,Subscribed,1
2021-04-12,Subscribed,0
2021-04-13,Subscribed,0
2021-04-14,Subscribed,0
2021-04-15,Subscribed,2
2021-04-16,Subscribed,3
2021-04-17,Subscribed,0
2021-04-18,Subscribed,0
2021-04-19,Subscribed,0
2021-04-20,Subscribed,1
2021-04-21,Subscribed,0
2021-04-22,Subscribed,0
2021-04-23,Subscribed,1
2021-04-24,Subscribed,0
2021-04-25,Subscribed,15
2021-04-26,Subscribed,4
2021-04-27,Subscribed,1
2021-04-28,Subscribed,0
2021-04-29,Subscribed,0
2021-04-30,Subscribed,0
2021-05-01,Subscribed,0
2021-05-02,Subscribed,0
2021-05-03,Subscribed,3
2021-05-04,Subscribed,1
2021-05-05,Subscribed,0
2021-05-06,Subscribed,0
2021-05-07,Subscribed,0
2021-05-08,Subscribed,0
2021-05-09,Subscribed,0
2021-05-10,Subscribed,0
2021-05-11,Subscribed,1
2021-05-12,Subscribed,1
2021-05-13,Subscribed,0
2021-05-14,Subscribed,0
2021-05-15,Subscribed,0
2021-05-16,Subscribed,0
2021-05-17,Subscribed,0
2021-05-18,Subscribed,0
2021-05-19,Subscribed,0
2021-05-20,Subscribed,0
2021-05-21,Subscribed,0
2021-05-22,Subscribed,0
2021-05-23,Subscribed,0
2021-05-24,Subscribed,0
2021-05-25,Subscribed,0
2021-05-26,Subscribed,0
2021-05-27,Subscribed,0
2021-05-28,Subscribed,1
2021-05-29,Subscribed,0
2021-05-30,Subscribed,0
2021-05-31,Subscribed,0
2021-06-01,Subscribed,0
2021-06-02,Subscribed,0
2021-06-03,Subscribed,0
2021-06-04,Subscribed,0
2021-06-05,Subscribed,0
2021-06-06,Subscribed,0
2021-06-07,Subscribed,0
2021-06-08,Subscribed,0
2021-06-09,Subscribed,0
2021-06-10,Subscribed,0
2021-06-11,Subscribed,0
2021-06-12,Subscribed,1
2021-06-13,Subscribed,0
2021-06-14,Subscribed,0
2021-06-15,Subscribed,3
2021-06-16,Subscribed,2
2021-06-17,Subscribed,1
2021-06-18,Subscribed,0
2021-06-19,Subscribed,53
2021-06-20,Subscribed,15
2021-06-21,Subscribed,57
2021-06-22,Subscribed,69
2021-06-23,Subscribed,43
2021-06-24,Subscribed,33
2021-06-25,Subscribed,68
2021-06-26,Subscribed,63
2021-06-27,Subscribed,24
2021-06-28,Subscribed,24
2021-06-29,Subscribed,21
2021-06-30,Subscribed,13
2021-07-01,Subscribed,6
2021-07-02,Subscribed,15
2021-07-03,Subscribed,8
2021-07-04,Subscribed,9
2021-07-05,Subscribed,3
2021-07-06,Subscribed,5
2021-07-07,Subscribed,11
2021-07-08,Subscribed,5
2021-07-09,Subscribed,17
2021-07-10,Subscribed,1
2021-07-11,Subscribed,11
2021-07-12,Subscribed,60
2021-07-13,Subscribed,62
2021-07-14,Subscribed,51
2021-07-15,Subscribed,43
2021-07-16,Subscribed,21
2021-07-17,Subscribed,13
2021-07-18,Subscribed,16
2021-07-19,Subscribed,34
2021-07-20,Subscribed,18
2021-07-21,Subscribed,14
2021-07-22,Subscribed,52
2021-07-23,Subscribed,29
2021-07-24,Subscribed,31
2021-07-25,Subscribed,4
2021-07-26,Subscribed,24
2021-07-27,Subscribed,11
2021-07-28,Subscribed,44
2021-07-29,Subscribed,67
2021-07-30,Subscribed,25
2021-07-31,Subscribed,5
2021-08-01,Subscribed,3
2021-08-02,Subscribed,62
2021-08-03,Subscribed,64
2021-08-04,Subscribed,9
2021-08-05,Subscribed,11
2021-08-06,Subscribed,8
2021-08-07,Subscribed,10
2021-08-08,Subscribed,8
2021-08-09,Subscribed,20
2021-08-10,Subscribed,16
2021-08-11,Subscribed,16
2021-08-12,Subscribed,3
2021-08-13,Subscribed,8
2021-08-14,Subscribed,2
2021-08-15,Subscribed,2
2021-08-16,Subscribed,24
2021-08-17,Subscribed,48
2021-08-18,Subscribed,35
2021-08-19,Subscribed,29
2021-08-20,Subscribed,33
2021-08-21,Subscribed,8
2021-08-22,Subscribed,4
2021-08-23,Subscribed,14
2021-08-24,Subscribed,18
2021-08-25,Subscribed,18
2021-08-26,Subscribed,33
2021-08-27,Subscribed,12
2021-08-28,Subscribed,6
2021-08-29,Subscribed,3
2021-08-30,Subscribed,26
2021-08-31,Subscribed,15
2021-09-01,Subscribed,13
2021-09-02,Subscribed,7
2021-09-03,Subscribed,12
2021-09-04,Subscribed,6
2021-09-05,Subscribed,1
2021-09-06,Subscribed,43
2021-09-07,Subscribed,13
2021-09-08,Subscribed,19
2021-09-09,Subscribed,5
2021-09-10,Subscribed,23
2021-09-11,Subscribed,3
2021-09-12,Subscribed,5
2021-09-13,Subscribed,2
2021-09-14,Subscribed,8
2021-09-15,Subscribed,27
2021-09-16,Subscribed,6
2021-09-17,Subscribed,15
2021-09-18,Subscribed,2
2021-09-19,Subscribed,0
2021-09-20,Subscribed,12
2021-09-21,Subscribed,4
2021-09-22,Subscribed,12
2021-09-23,Subscribed,16
2021-09-24,Subscribed,22
2021-09-25,Subscribed,2
2021-09-26,Subscribed,3
2021-09-27,Subscribed,10
2021-09-28,Subscribed,5
2021-09-29,Subscribed,8
2021-09-30,Subscribed,15
2021-10-01,Subscribed,15
2021-10-02,Subscribed,23
2021-10-03,Subscribed,6
2021-10-04,Subscribed,3
2021-10-05,Subscribed,9
2021-10-06,Subscribed,27
2021-10-07,Subscribed,10
2021-10-08,Subscribed,1
2021-10-09,Subscribed,4
2021-10-10,Subscribed,1
2021-10-11,Subscribed,9
2021-10-12,Subscribed,4
2021-10-13,Subscribed,2
2021-10-14,Subscribed,2
2021-10-15,Subscribed,0
2021-10-16,Subscribed,0
2021-10-17,Subscribed,0
2021-10-18,Subscribed,0
2021-10-19,Subscribed,1
2021-10-20,Subscribed,0
2021-10-21,Subscribed,0
2021-10-22,Subscribed,3
2021-10-23,Subscribed,0
2021-10-24,Subscribed,1
2021-10-25,Subscribed,124
2021-10-26,Subscribed,167
2021-10-27,Subscribed,170
2021-10-28,Subscribed,7
2021-10-29,Subscribed,8
2021-10-30,Subscribed,1
2021-10-31,Subscribed,4
2021-11-01,Subscribed,1
2021-11-02,Subscribed,1
2021-11-03,Subscribed,2
2021-11-04,Subscribed,1
2021-11-05,Subscribed,0
2021-11-06,Subscribed,0
2021-11-07,Subscribed,1
2021-11-08,Subscribed,4
2021-11-09,Subscribed,2
2021-11-10,Subscribed,81
2021-11-11,Subscribed,83
2021-11-12,Subscribed,0
2021-11-13,Subscribed,1
2021-11-14,Subscribed,0
2021-11-15,Subscribed,5
2021-11-16,Subscribed,0
2021-11-17,Subscribed,4
2021-11-18,Subscribed,2
2021-11-19,Subscribed,0
2021-11-20,Subscribed,0
2021-11-21,Subscribed,0
2021-11-22,Subscribed,0
2021-11-23,Subscribed,7
2021-11-24,Subscribed,0
2021-11-25,Subscribed,0
2021-11-26,Subscribed,0
2021-11-27,Subscribed,0
2021-11-28,Subscribed,0
2021-11-29,Subscribed,0
2021-11-30,Subscribed,2
2021-12-01,Subscribed,0
2021-12-02,Subscribed,1
2021-12-03,Subscribed,0
2021-12-04,Subscribed,1
2021-12-05,Subscribed,0
2021-12-06,Subscribed,0
2021-12-07,Subscribed,0
2021-12-08,Subscribed,2
2021-12-09,Subscribed,0
2021-12-10,Subscribed,0
2021-12-11,Subscribed,0
2021-12-12,Subscribed,1
2021-12-13,Subscribed,0
2021-12-14,Subscribed,0
2021-12-15,Subscribed,6
2021-12-16,Subscribed,1
2021-12-17,Subscribed,3
2021-12-18,Subscribed,5
2021-12-19,Subscribed,1
2021-12-20,Subscribed,0
2021-12-21,Subscribed,0
2021-12-22,Subscribed,0
2021-12-23,Subscribed,1
2021-12-24,Subscribed,0
2021-12-25,Subscribed,0
2021-12-26,Subscribed,1
2021-12-27,Subscribed,0
2021-12-28,Subscribed,0
2021-12-29,Subscribed,1
2021-12-30,Subscribed,0
2021-12-31,Subscribed,0
2022-01-01,Subscribed,2
2022-01-02,Subscribed,6
2022-01-03,Subscribed,0
2022-01-04,Subscribed,0
2022-01-05,Subscribed,0
2022-01-06,Subscribed,0
2022-01-07,Subscribed,2
2022-01-08,Subscribed,2
2022-01-09,Subscribed,0
2022-01-10,Subscribed,0
2022-01-11,Subscribed,0
2022-01-12,Subscribed,0
2022-01-13,Subscribed,0
2022-01-14,Subscribed,0
2022-01-15,Subscribed,0
2022-01-16,Subscribed,0
2022-01-17,Subscribed,3
2022-01-18,Subscribed,3
2022-01-19,Subscribed,1
2022-01-20,Subscribed,0
2022-01-21,Subscribed,0
2022-01-22,Subscribed,0
2022-01-23,Subscribed,0
2022-01-24,Subscribed,0
2022-01-25,Subscribed,0
2022-01-26,Subscribed,1
2022-01-27,Subscribed,0
2022-01-28,Subscribed,0
2022-01-29,Subscribed,0
2022-01-30,Subscribed,0
2022-01-31,Subscribed,1
2022-02-01,Subscribed,0
2022-02-02,Subscribed,2
2022-02-03,Subscribed,0
2022-02-04,Subscribed,0
2022-02-05,Subscribed,1
2022-02-06,Subscribed,1
2022-02-07,Subscribed,0
2022-02-08,Subscribed,0
2022-02-09,Subscribed,0
2022-02-10,Subscribed,0
2022-02-11,Subscribed,5
2022-02-12,Subscribed,3
2022-02-13,Subscribed,2
2022-02-14,Subscribed,3
2022-02-15,Subscribed,1
2022-02-16,Subscribed,1
2022-02-17,Subscribed,4
2022-02-18,Subscribed,3
2022-02-19,Subscribed,0
2022-02-20,Subscribed,1
2022-02-21,Subscribed,0
2022-02-22,Subscribed,1
2022-02-23,Subscribed,0
2022-02-24,Subscribed,2
2022-02-25,Subscribed,0
2022-02-26,Subscribed,0
2022-02-27,Subscribed,0
2022-02-28,Subscribed,14
2022-03-01,Subscribed,2
2022-03-02,Subscribed,0
2022-03-03,Subscribed,1
2022-03-04,Subscribed,3
2022-03-05,Subscribed,1
2022-03-06,Subscribed,4
2022-03-07,Subscribed,12
2022-03-08,Subscribed,0
2022-03-09,Subscribed,3
2022-03-10,Subscribed,1
2022-03-11,Subscribed,1
2022-03-12,Subscribed,0
2022-03-13,Subscribed,1
2022-03-14,Subscribed,2
2022-03-15,Subscribed,0
2022-03-16,Subscribed,1
2022-03-17,Subscribed,0
2022-03-18,Subscribed,0
2022-03-19,Subscribed,0
2022-03-20,Subscribed,0
2022-03-21,Subscribed,0
2022-03-22,Subscribed,0
2022-03-23,Subscribed,2
2022-03-24,Subscribed,1
2022-03-25,Subscribed,0
2022-03-26,Subscribed,1
2022-03-27,Subscribed,2
2022-03-28,Subscribed,7
2022-03-29,Subscribed,7
2022-03-30,Subscribed,4
2022-03-31,Subscribed,2
2022-04-01,Subscribed,0
2022-04-02,Subscribed,5
2022-04-03,Subscribed,0
2022-04-04,Subscribed,6
2022-04-05,Subscribed,1
2022-04-06,Subscribed,3
2022-04-07,Subscribed,1
2022-04-08,Subscribed,1
2022-04-09,Subscribed,4
2022-04-10,Subscribed,1
2022-04-11,Subscribed,1
2022-04-12,Subscribed,8
2022-04-13,Subscribed,3
2022-04-14,Subscribed,3
2022-04-15,Subscribed,3
2022-04-16,Subscribed,0
2022-04-17,Subscribed,6
2022-04-18,Subscribed,1
2022-04-19,Subscribed,0
2022-04-20,Subscribed,6
2022-04-21,Subscribed,33
2022-04-22,Subscribed,7
2022-04-23,Subscribed,1
2022-04-24,Subscribed,11
2022-04-25,Subscribed,12
2022-04-26,Subscribed,21
2022-04-27,Subscribed,32
2022-04-28,Subscribed,22
2022-04-29,Subscribed,14
2022-04-30,Subscribed,68
2022-05-01,Subscribed,40
2022-05-02,Subscribed,28
2022-05-03,Subscribed,22
2022-05-04,Subscribed,10
2022-05-05,Subscribed,3
2022-05-06,Subscribed,19
2022-05-07,Subscribed,5
2022-05-08,Subscribed,23
2022-05-09,Subscribed,13
2022-05-10,Subscribed,38
2022-05-11,Subscribed,41
2022-05-12,Subscribed,44
2022-05-13,Subscribed,10
2022-05-14,Subscribed,11
2022-05-15,Subscribed,30
2022-05-16,Subscribed,31
2022-05-17,Subscribed,31
2022-05-18,Subscribed,50
2022-05-19,Subscribed,26
2022-05-20,Subscribed,21
2022-05-21,Subscribed,10
2022-05-22,Subscribed,9
2022-05-23,Subscribed,14
2022-05-24,Subscribed,6
2022-05-25,Subscribed,7
2022-05-26,Subscribed,9
2022-05-27,Subscribed,14
2022-05-28,Subscribed,1
2022-05-29,Subscribed,13
2022-05-30,Subscribed,16
2022-05-31,Subscribed,8
2022-06-01,Subscribed,18
2022-06-02,Subscribed,11
2022-06-03,Subscribed,3
2022-06-04,Subscribed,8
2022-06-05,Subscribed,7
2022-06-06,Subscribed,1
2022-06-07,Subscribed,32
2022-06-08,Subscribed,13
2022-06-09,Subscribed,7
2022-06-10,Subscribed,18
2022-06-11,Subscribed,10
2022-06-12,Subscribed,14
2022-06-13,Subscribed,23
2022-06-14,Subscribed,26
2022-06-15,Subscribed,30
2022-06-16,Subscribed,23
2022-06-17,Subscribed,16
2022-06-18,Subscribed,14
2022-06-19,Subscribed,6
2022-06-20,Subscribed,29
2022-06-21,Subscribed,29
2022-06-22,Subscribed,60
2022-06-23,Subscribed,37
2022-06-24,Subscribed,26
2022-06-25,Subscribed,15
2022-06-26,Subscribed,12
2022-06-27,Subscribed,20
2022-06-28,Subscribed,43
2022-06-29,Subscribed,36
2022-06-30,Subscribed,31
2022-07-01,Subscribed,33
2022-07-02,Subscribed,11
2022-07-03,Subscribed,40
2022-07-04,Subscribed,6
2022-07-05,Subscribed,20
2022-07-06,Subscribed,71
2022-07-07,Subscribed,46
2022-07-08,Subscribed,21
2022-07-09,Subscribed,18
2022-07-10,Subscribed,16
2022-07-11,Subscribed,26
2022-07-12,Subscribed,24
2022-07-13,Subscribed,18
2022-07-14,Subscribed,29
2022-07-15,Subscribed,15
2022-07-16,Subscribed,17
2022-07-17,Subscribed,6
2022-07-18,Subscribed,10
2022-07-19,Subscribed,13
2022-07-20,Subscribed,35
2022-07-21,Subscribed,45
2022-07-22,Subscribed,20
2022-07-23,Subscribed,23
2022-07-24,Subscribed,30
2022-07-25,Subscribed,31
2022-07-26,Subscribed,25
2022-07-27,Subscribed,17
2022-07-28,Subscribed,30
2022-07-29,Subscribed,39
2022-07-30,Subscribed,35
2022-07-31,Subscribed,37
2022-08-01,Subscribed,27
2022-08-02,Subscribed,10
2022-08-03,Subscribed,15
2022-08-04,Subscribed,89
2022-08-05,Subscribed,15
2022-08-06,Subscribed,33
2022-08-07,Subscribed,63
2022-08-08,Subscribed,190
2022-08-09,Subscribed,117
2022-08-10,Subscribed,67
2022-08-11,Subscribed,46
2022-08-12,Subscribed,95
2022-08-13,Subscribed,33
2022-08-14,Subscribed,13
2022-08-15,Subscribed,29
2022-08-16,Subscribed,39
2022-08-17,Subscribed,15
2022-08-18,Subscribed,71
2022-08-19,Subscribed,35
2022-08-20,Subscribed,16
2022-08-21,Subscribed,30
2022-08-22,Subscribed,35
2022-08-23,Subscribed,60
2022-08-24,Subscribed,51
2022-08-25,Subscribed,38
2022-08-26,Subscribed,24
2022-08-27,Subscribed,25
2022-08-28,Subscribed,9
2022-08-29,Subscribed,46
2022-08-30,Subscribed,37
2022-08-31,Subscribed,31
2022-09-01,Subscribed,59
2022-09-02,Subscribed,59
2022-09-03,Subscribed,19
2022-09-04,Subscribed,57
2022-09-05,Subscribed,26
2022-09-06,Subscribed,60
2022-09-07,Subscribed,40
2022-09-08,Subscribed,24
2022-09-09,Subscribed,22
2022-09-10,Subscribed,10
2022-09-11,Subscribed,27
2022-09-12,Subscribed,46
2022-09-13,Subscribed,52
2022-09-14,Subscribed,39
2022-09-15,Subscribed,85
2022-09-16,Subscribed,51
2022-09-17,Subscribed,30
2022-09-18,Subscribed,22
2022-09-19,Subscribed,18
2022-09-20,Subscribed,62
2022-09-21,Subscribed,37
2022-09-22,Subscribed,54
2022-09-23,Subscribed,37
2022-09-24,Subscribed,23
2022-09-25,Subscribed,39
2022-09-26,Subscribed,28
2022-09-27,Subscribed,34
2022-09-28,Subscribed,48
2022-09-29,Subscribed,44
2022-09-30,Subscribed,40
2022-10-01,Subscribed,32
2022-10-02,Subscribed,21
2022-10-03,Subscribed,43
2022-10-04,Subscribed,21
2022-10-05,Subscribed,33
2022-10-06,Subscribed,28
2022-10-07,Subscribed,19
2022-10-08,Subscribed,9
2022-10-09,Subscribed,15
2022-10-10,Subscribed,9
2022-10-11,Subscribed,48
2022-10-12,Subscribed,29
2022-10-13,Subscribed,22
2022-10-14,Subscribed,29
2022-10-15,Subscribed,17
2022-10-16,Subscribed,10
2022-10-17,Subscribed,3
2022-10-18,Subscribed,8
2022-10-19,Subscribed,25
2022-10-20,Subscribed,6
2022-10-21,Subscribed,20
2022-10-22,Subscribed,40
2022-10-23,Subscribed,7
2022-10-24,Subscribed,11
2022-10-25,Subscribed,37
2022-10-26,Subscribed,47
2022-10-27,Subscribed,38
2022-10-28,Subscribed,27
2022-10-29,Subscribed,26
2022-10-30,Subscribed,11
2022-10-31,Subscribed,41
2022-11-01,Subscribed,50
2022-11-02,Subscribed,37
2022-11-03,Subscribed,36
2022-11-04,Subscribed,29
2022-11-05,Subscribed,12
2022-11-06,Subscribed,21
2022-11-07,Subscribed,47
2022-11-08,Subscribed,16
2022-11-09,Subscribed,55
2022-11-10,Subscribed,10
2022-11-11,Subscribed,29
2022-11-12,Subscribed,17
2022-11-13,Subscribed,35
2022-11-14,Subscribed,44
2022-11-15,Subscribed,8
2022-11-16,Subscribed,10
2022-11-17,Subscribed,14
2022-11-18,Subscribed,16
2022-11-19,Subscribed,2
2022-11-20,Subscribed,4
2022-11-21,Subscribed,2
2022-11-22,Subscribed,2
2022-11-23,Subscribed,3
2022-11-24,Subscribed,3
2022-11-25,Subscribed,0
2022-11-26,Subscribed,1
2022-11-27,Subscribed,0
2022-11-28,Subscribed,15
2022-11-29,Subscribed,8
2022-11-30,Subscribed,1
2022-12-01,Subscribed,0
2022-12-02,Subscribed,5
2022-12-03,Subscribed,4
2022-12-04,Subscribed,3
2022-12-05,Subscribed,4
2022-12-06,Subscribed,2
2022-12-07,Subscribed,0
2022-12-08,Subscribed,2
2022-12-09,Subscribed,1
2022-12-10,Subscribed,4
2022-12-11,Subscribed,5
2022-12-12,Subscribed,1
2022-12-13,Subscribed,1
2022-12-14,Subscribed,1
2022-12-15,Subscribed,3
2022-12-16,Subscribed,1
2022-12-17,Subscribed,3
2022-12-18,Subscribed,3
2022-12-19,Subscribed,8
2022-12-20,Subscribed,0
2022-12-21,Subscribed,1
2022-12-22,Subscribed,2
2022-12-23,Subscribed,2
2022-12-24,Subscribed,0
2022-12-25,Subscribed,0
2022-12-26,Subscribed,0
2022-12-27,Subscribed,1
2022-12-28,Subscribed,1
2022-12-29,Subscribed,2
2022-12-30,Subscribed,0
2022-12-31,Subscribed,0
2023-01-01,Subscribed,0
